Date: 2017.05.10
Start: 08:16:32
Nr.	Time		CH0	CH1	CH2	Status
00	10:35:32	114.5 C	114.0 C	115.3 C	Sterile
01	10:36:32	114.8 C	114.0 C	115.5 C	Sterile
02	10:37:32	114.9 C	114.1 C	115.7 C	Sterile
03	10:38:32	115.0 C	114.3 C	115.9 C	Sterile
04	10:39:32	115.2 C	114.4 C	116.2 C	Sterile
05	10:40:32	115.4 C	114.6 C	116.1 C	Sterile
06	10:41:32	115.5 C	114.7 C	116.4 C	Sterile
07	10:42:32	115.9 C	114.8 C	116.5 C	Sterile
08	10:43:32	116.2 C	115.1 C	116.5 C	Sterile
09	10:44:32	116.4 C	115.3 C	116.5 C	Sterile
10	10:45:32	116.5 C	115.5 C	116.5 C	Sterile
11	10:46:32	116.4 C	115.6 C	116.5 C	Sterile
12	10:47:32	116.5 C	115.8 C	116.6 C	Sterile
13	10:48:32	116.5 C	116.0 C	116.5 C	Sterile
14	10:49:32	116.6 C	116.2 C	116.6 C	Sterile
15	10:50:32	116.6 C	116.4 C	116.4 C	Sterile
16	10:51:32	116.7 C	116.5 C	116.3 C	Sterile
17	10:52:32	116.8 C	116.6 C	116.4 C	Sterile
18	10:53:32	116.8 C	116.6 C	116.5 C	Sterile
19	10:54:32	116.8 C	116.6 C	116.6 C	Sterile
20	10:55:32	116.8 C	116.5 C	116.6 C	Sterile
21	10:56:32	116.7 C	116.5 C	116.5 C	Sterile
22	10:57:32	116.7 C	116.3 C	116.5 C	Sterile
23	10:58:32	116.5 C	116.2 C	116.4 C	Sterile
24	10:59:32	116.4 C	116.0 C	116.3 C	Sterile
25	11:00:32	116.3 C	115.9 C	116.3 C	Sterile
26	11:01:32	116.1 C	115.7 C	116.2 C	Sterile
27	11:02:32	116.0 C	115.6 C	116.0 C	Sterile
28	11:03:32	115.9 C	115.4 C	116.0 C	Sterile
29	11:04:32	115.7 C	115.4 C	115.9 C	Sterile
30	11:05:33	115.7 C	115.4 C	115.9 C	Sterile
31	11:06:33	115.6 C	115.4 C	115.8 C	Sterile
32	11:07:33	115.8 C	115.6 C	115.8 C	Sterile
33	11:08:33	115.9 C	115.7 C	115.9 C	Sterile
34	11:09:33	116.1 C	115.9 C	116.0 C	Sterile
35	11:10:33	116.2 C	116.0 C	116.2 C	Sterile
36	11:11:33	116.3 C	116.1 C	116.2 C	Sterile
37	11:12:33	116.3 C	116.1 C	116.0 C	Sterile
38	11:13:33	116.4 C	116.2 C	116.1 C	Sterile
39	11:14:33	116.4 C	116.2 C	116.1 C	Sterile
40	11:15:33	116.3 C	116.2 C	116.1 C	Sterile
41	11:16:33	116.3 C	116.2 C	116.1 C	Sterile
42	11:17:33	116.2 C	116.1 C	116.1 C	Sterile
43	11:18:33	116.1 C	115.9 C	116.0 C	Sterile
44	11:19:33	116.0 C	115.8 C	116.0 C	Sterile
45	11:20:33	115.9 C	115.6 C	115.9 C	Sterile
46	11:21:33	115.7 C	115.5 C	115.8 C	Sterile
47	11:22:33	115.7 C	115.4 C	115.8 C	Sterile
48	11:23:33	115.7 C	115.5 C	115.7 C	Sterile
49	11:24:33	115.9 C	115.6 C	115.9 C	Sterile
50	11:25:33	116.0 C	115.8 C	116.1 C	Sterile
51	11:26:33	116.0 C	115.8 C	116.3 C	Sterile
52	11:27:33	116.1 C	115.9 C	116.4 C	Sterile
53	11:28:33	116.1 C	116.0 C	116.4 C	Sterile
54	11:29:33	116.2 C	116.1 C	116.2 C	Sterile
55	11:30:33	116.2 C	116.2 C	116.1 C	Sterile
56	11:31:33	116.2 C	116.3 C	116.1 C	Sterile
57	11:32:33	116.3 C	116.2 C	116.2 C	Sterile
58	11:33:33	116.2 C	116.2 C	116.2 C	Sterile
59	11:34:33	116.2 C	116.1 C	116.1 C	Sterile
60	11:35:33	116.1 C	115.9 C	116.0 C	Sterile
End: 11:35:33
Result: SUCCESS
